url,hero
abaddon,Abaddon
omniknight,Omniknight
chen,Chen
broodmother,Broodmother
treant,Treant Protector
dark_seer,Dark Seer
bristleback,Bristleback
lycan,Lycan
winter_wyvern,Winter Wyvern
beastmaster,Beastmaster
centaur,Centaur Warrunner
skeleton_king,Wraith King
skywrath_mage,Skywrath Mage
silencer,Silencer
shadow_shaman,Shadow Shaman
sand_king,Sand King
chaos_knight,Chaos Knight
medusa,Medusa
visage,Visage
furion,Nature's Prophet
spectre,Spectre
bane,Bane
windrunner,Windranger
clinkz,Clinkz
sven,Sven
brewmaster,Brewmaster
antimage,Anti-Mage
ancient_apparition,Ancient Apparition
sniper,Sniper
lion,Lion
alchemist,Alchemist
faceless_void,Faceless Void
crystal_maiden,Crystal Maiden
invoker,Invoker
doom_bringer,Doom
lina,Lina
tinker,Tinker
huskar,Huskar
luna,Luna
vengefulspirit,Vengeful Spirit
riki,Riki
magnataur,Magnus
venomancer,Venomancer
arc_warden,Arc Warden
queenofpain,Queen of Pain
abyssal_underlord,Underlord
meepo,Meepo
warlock,Warlock
earth_spirit,Earth Spirit
morphling,Morphling
disruptor,Disruptor
necrolyte,Necrophos
techies,Techies
enchantress,Enchantress
ember_spirit,Ember Spirit
oracle,Oracle
puck,Puck
keeper_of_the_light,Keeper of the Light
lich,Lich
slark,Slark
bloodseeker,Bloodseeker
enigma,Enigma
ogre_magi,Ogre Magi
dragon_knight,Dragon Knight
drow_ranger,Drow Ranger
pugna,Pugna
pangolier,Pangolier
axe,Axe
tusk,Tusk
witch_doctor,Witch Doctor
naga_siren,Naga Siren
rubick,Rubick
earthshaker,Earthshaker
life_stealer,Lifestealer
wisp,Io
rattletrap,Clockwerk
ursa,Ursa
death_prophet,Death Prophet
viper,Viper
nyx_assassin,Nyx Assassin
mirana,Mirana
shadow_demon,Shadow Demon
phoenix,Phoenix
mars,Mars
lone_druid,Lone Druid
jakiro,Jakiro
undying,Undying
tidehunter,Tidehunter
storm_spirit,Storm Spirit
kunkka,Kunkka
zuus,Zeus
grimstroke,Grimstroke
phantom_assassin,Phantom Assassin
bounty_hunter,Bounty Hunter
obsidian_destroyer,Outworld Devourer
slardar,Slardar
terrorblade,Terrorblade
batrider,Batrider
nevermore,Shadow Fiend
troll_warlord,Troll Warlord
shredder,Timbersaw
elder_titan,Elder Titan
phantom_lancer,Phantom Lancer
dazzle,Dazzle
weaver,Weaver
tiny,Tiny
dark_willow,Dark Willow
pudge,Pudge
monkey_king,Monkey King
templar_assassin,Templar Assassin
razor,Razor
gyrocopter,Gyrocopter
leshrac,Leshrac
legion_commander,Legion Commander
juggernaut,Juggernaut
spirit_breaker,Spirit Breaker
night_stalker,Night Stalker
void_spirit,Void Spirit
snapfire,Snapfire
