img src,vs Hero,Anti Index,Win Rate,Matches Played,hero
http://cdn.dota2.com/apps/dota2/images/heroes/ogre_magi_hphover.png,Ogre Magi,2.37,50.36,10478,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/obsidian_destroyer_hphover.png,Outworld Devourer,-6.95,50.7,9211,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/nyx_assassin_hphover.png,Nyx Assassin,-1.75,48.75,4474,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/silencer_hphover.png,Silencer,4.02,53.25,7700,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/rattletrap_hphover.png,Clockwerk,-0.99,47.03,6394,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/slardar_hphover.png,Slardar,2.22,47.14,14687,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/shredder_hphover.png,Timbersaw,-2.82,50.25,6155,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/medusa_hphover.png,Medusa,-0.48,56.12,1707,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/doom_bringer_hphover.png,Doom,0.05,53.6,9003,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/shadow_demon_hphover.png,Shadow Demon,-6.01,50.42,2017,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/mirana_hphover.png,Mirana,4.51,54.07,6055,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/lone_druid_hphover.png,Lone Druid,-1.62,47.1,3713,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/keeper_of_the_light_hphover.png,Keeper of the Light,-5.0,49.05,1833,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/axe_hphover.png,Axe,3.51,54.39,5396,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/dazzle_hphover.png,Dazzle,2.96,52.34,5266,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/enchantress_hphover.png,Enchantress,0.56,52.15,3787,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/bounty_hunter_hphover.png,Bounty Hunter,4.68,52.98,4188,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/beastmaster_hphover.png,Beastmaster,-0.92,49.47,1712,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/centaur_hphover.png,Centaur Warrunner,-1.78,49.84,3525,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/mars_hphover.png,Mars,2.98,53.92,4768,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/monkey_king_hphover.png,Monkey King,-4.31,50.26,9836,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/skeleton_king_hphover.png,Wraith King,7.69,56.4,2782,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/meepo_hphover.png,Meepo,-6.14,42.69,3842,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/morphling_hphover.png,Morphling,1.14,55.95,5887,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/disruptor_hphover.png,Disruptor,2.66,52.28,18212,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/phantom_assassin_hphover.png,Phantom Assassin,6.04,55.82,6560,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/grimstroke_hphover.png,Grimstroke,-4.92,53.72,4566,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/death_prophet_hphover.png,Death Prophet,1.17,54.38,811,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/pudge_hphover.png,Pudge,1.23,53.36,18841,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/dark_willow_hphover.png,Dark Willow,1.59,50.96,5969,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/lion_hphover.png,Lion,-3.15,51.69,13890,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/alchemist_hphover.png,Alchemist,-6.69,48.28,1684,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/oracle_hphover.png,Oracle,-1.29,53.47,2553,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/puck_hphover.png,Puck,-1.86,50.33,10592,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/ember_spirit_hphover.png,Ember Spirit,3.38,57.67,6546,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/lich_hphover.png,Lich,-1.55,49.67,14028,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/slark_hphover.png,Slark,-6.04,48.83,23140,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/brewmaster_hphover.png,Brewmaster,1.73,54.41,1088,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/antimage_hphover.png,Anti-Mage,-0.94,50.46,8159,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/ancient_apparition_hphover.png,Ancient Apparition,0.39,52.07,5788,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/lina_hphover.png,Lina,-2.94,52.39,8923,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/chen_hphover.png,Chen,-9.31,45.15,485,Abaddon
http://cdn.dota2.com/apps/dota2/images/heroes/spirit_breaker_hphover.png,Spirit Breaker,2.63,52.69,3192,Abaddon
